PC Time, Mocap_X, Mocap_y, Mocap_z, Mocap_yaw, Mocap_pitch, Mocap_roll, X_ref, Y_ref, Z_ref 
1.162000,-0.109591,0.404753,0.092510,3.067684,-2.181884,-1.572148,0.000000,0.000000,0.500000
1.172000,-0.109579,0.404731,0.092507,3.052059,-2.207670,-1.557356,0.000000,0.000000,0.500000
1.182000,-0.109588,0.404750,0.092512,3.063992,-2.211861,-1.587335,0.000000,0.000000,0.500000
1.192000,-0.109600,0.404735,0.092516,3.041355,-2.212478,-1.599215,0.000000,0.000000,0.500000
1.202000,-0.109585,0.404699,0.092519,3.026027,-2.258030,-1.556627,0.000000,0.000000,0.500000
1.212000,-0.109606,0.404749,0.092517,3.053768,-2.211694,-1.618166,0.000000,0.000000,0.500000
1.222000,-0.109591,0.404677,0.092494,2.960663,-2.342440,-1.657691,0.000000,0.000000,0.500000
1.232000,-0.109599,0.404736,0.092525,3.037242,-2.221280,-1.595019,0.000000,0.000000,0.500000
1.247000,-0.109611,0.404729,0.092520,3.046115,-2.218294,-1.609629,0.000000,0.000000,0.500000
1.253000,-0.109593,0.404607,0.092538,2.834666,-2.495082,-1.762074,0.000000,0.000000,0.500000
1.262000,-0.109606,0.404742,0.092524,3.059499,-2.195840,-1.596808,0.000000,0.000000,0.500000
1.272000,-0.109603,0.404748,0.092515,3.056149,-2.193052,-1.579763,0.000000,0.000000,0.500000
1.282000,-0.109621,0.404752,0.092507,3.064487,-2.184386,-1.605565,0.000000,0.000000,0.500000
1.292000,-0.109605,0.404760,0.092499,3.067683,-2.185219,-1.600939,0.000000,0.000000,0.500000
1.302000,-0.109599,0.404739,0.092501,3.047555,-2.188533,-1.618919,0.000000,0.000000,0.500000
1.312000,-0.109562,0.404519,0.092664,2.788844,-2.690449,-1.702023,0.000000,0.000000,0.500000
1.322000,-0.109612,0.404754,0.092520,3.081837,-2.183776,-1.614906,0.000000,0.000000,0.500000
1.332000,-0.109578,0.404599,0.092603,2.872945,-2.513034,-1.615608,0.000000,0.000000,0.500000
1.342000,-0.109604,0.404756,0.092509,3.080080,-2.196872,-1.611133,0.000000,0.000000,0.500000
1.352000,-0.109587,0.404726,0.092509,3.049568,-2.212812,-1.574434,0.000000,0.000000,0.500000
1.362000,-0.109595,0.404732,0.092501,3.043260,-2.201699,-1.616565,0.000000,0.000000,0.500000
1.372000,-0.109597,0.404754,0.092500,3.075047,-2.171697,-1.602443,0.000000,0.000000,0.500000
1.382000,-0.109595,0.404743,0.092511,3.058989,-2.202716,-1.605750,0.000000,0.000000,0.500000
1.392000,-0.109603,0.404737,0.092501,3.051783,-2.180147,-1.636685,0.000000,0.000000,0.500000
1.402000,-0.109604,0.404746,0.092505,3.071386,-2.192632,-1.614628,0.000000,0.000000,0.500000
1.412000,-0.109600,0.404738,0.092508,3.055149,-2.214976,-1.600991,0.000000,0.000000,0.500000
1.422000,-0.109604,0.404751,0.092502,3.053722,-2.204501,-1.622915,0.000000,0.000000,0.500000
1.432000,-0.109608,0.404541,0.092595,2.830377,-2.291217,-1.721918,0.000000,0.000000,0.500000
1.442000,-0.109413,0.404478,0.092442,2.771393,-2.163772,-1.653352,0.000000,0.000000,0.500000
1.452000,-0.109600,0.404736,0.092503,3.068380,-2.189735,-1.605345,0.000000,0.000000,0.500000
1.462000,-0.109589,0.404718,0.092423,3.032566,-2.191274,-1.734222,0.000000,0.000000,0.500000
1.472000,-0.109594,0.404663,0.092585,2.981551,-2.495660,-1.746862,0.000000,0.000000,0.500000
1.482000,-0.109608,0.404754,0.092495,3.065564,-2.170935,-1.599205,0.000000,0.000000,0.500000
1.492000,-0.109618,0.404754,0.092508,3.063410,-2.190400,-1.607797,0.000000,0.000000,0.500000
1.502000,-0.109612,0.404595,0.092520,2.857540,-2.445501,-1.709574,0.000000,0.000000,0.500000
1.512000,-0.109608,0.404741,0.092513,3.062821,-2.182945,-1.603888,0.000000,0.000000,0.500000
1.522000,-0.109581,0.404728,0.092514,3.039550,-2.209162,-1.589329,0.000000,0.000000,0.500000
1.532000,-0.109602,0.404750,0.092520,3.064878,-2.213752,-1.607225,0.000000,0.000000,0.500000
1.542000,-0.109605,0.404728,0.092517,3.020165,-2.219769,-1.589550,0.000000,0.000000,0.500000
1.552000,-0.109618,0.404757,0.092508,3.057648,-2.211487,-1.619664,0.000000,0.000000,0.500000
1.562000,-0.109601,0.404733,0.092508,3.030437,-2.203184,-1.595993,0.000000,0.000000,0.500000
1.572000,-0.109618,0.404752,0.092506,3.071052,-2.176130,-1.606613,0.000000,0.000000,0.500000
1.582000,-0.109591,0.404660,0.092506,2.942442,-2.390050,-1.675361,0.000000,0.000000,0.500000
1.592000,-0.109616,0.404749,0.092510,3.066424,-2.190835,-1.614335,0.000000,0.000000,0.500000
1.602000,-0.109590,0.404726,0.092399,3.025352,-2.215494,-1.764723,0.000000,0.000000,0.500000
1.612000,-0.109615,0.404757,0.092498,3.052641,-2.185139,-1.615858,0.000000,0.000000,0.500000
1.622000,-0.109610,0.404759,0.092504,3.067886,-2.205143,-1.608121,0.000000,0.000000,0.500000
1.632000,-0.109598,0.404751,0.092512,3.058952,-2.145638,-1.593342,0.000000,0.000000,0.500000
1.642000,-0.109607,0.404743,0.092518,3.072020,-2.186009,-1.608365,0.000000,0.000000,0.500000
1.652000,-0.109599,0.404740,0.092514,3.053068,-2.182448,-1.598802,0.000000,0.000000,0.500000
1.662000,-0.109595,0.404747,0.092514,3.059279,-2.205432,-1.610287,0.000000,0.000000,0.500000
1.672000,-0.109622,0.404549,0.092515,2.753322,-2.346627,-1.591543,0.000000,0.000000,0.500000
1.683000,-0.109594,0.404753,0.092502,3.054287,-2.192187,-1.588062,0.000000,0.000000,0.500000
1.692000,-0.109576,0.404724,0.092508,3.029354,-2.213966,-1.564844,0.000000,0.000000,0.500000
1.702000,-0.109585,0.404735,0.092518,3.053358,-2.208360,-1.563766,0.000000,0.000000,0.500000
1.712000,-0.109237,0.404895,0.092608,3.445507,-2.416665,-1.947390,0.000000,0.000000,0.500000
1.722000,-0.109272,0.404958,0.092720,3.482417,-2.720831,-2.419810,0.000000,0.000000,0.500000
1.732000,-0.109246,0.404890,0.092642,3.500265,-2.484147,-2.152387,0.000000,0.000000,0.500000
1.742000,-0.109173,0.404932,0.092667,3.711357,-2.651533,-2.309939,0.000000,0.000000,0.500000
1.752000,-0.109262,0.404900,0.092642,3.439032,-2.314833,-2.070006,0.000000,0.000000,0.500000
1.762000,-0.109091,0.404853,0.092704,3.456539,-2.501955,-2.311976,0.000000,0.000000,0.500000
1.772000,-0.109235,0.404824,0.092746,3.535163,-2.611173,-2.404416,0.000000,0.000000,0.500000
1.782000,-0.109369,0.404858,0.092675,3.539441,-2.467338,-1.882602,0.000000,0.000000,0.500000
1.792000,-0.109268,0.404922,0.092768,3.538091,-2.596019,-2.332048,0.000000,0.000000,0.500000
1.802000,-0.109221,0.404900,0.092696,3.469620,-2.447332,-2.131288,0.000000,0.000000,0.500000
1.812000,-0.109114,0.404983,0.092736,3.387173,-2.714859,-2.364368,0.000000,0.000000,0.500000
1.822000,-0.109216,0.404943,0.092617,3.411815,-2.422420,-1.889359,0.000000,0.000000,0.500000
1.832000,-0.109255,0.404945,0.092784,3.564557,-2.747649,-2.481686,0.000000,0.000000,0.500000
1.842000,-0.109283,0.404812,0.092755,3.625515,-2.698675,-2.508724,0.000000,0.000000,0.500000
1.852000,-0.109384,0.404928,0.092760,3.552783,-2.621117,-2.242712,0.000000,0.000000,0.500000
1.862000,-0.109311,0.404869,0.092718,3.614109,-2.572712,-2.382068,0.000000,0.000000,0.500000
1.873000,-0.109389,0.404817,0.092729,3.569666,-2.662517,-2.321936,0.000000,0.000000,0.500000
1.882000,-0.109339,0.404910,0.092767,3.653428,-2.772992,-2.463849,0.000000,0.000000,0.500000
1.892000,-0.109302,0.404922,0.092711,3.568862,-2.705273,-2.329771,0.000000,0.000000,0.500000
1.902000,-0.109336,0.404882,0.092722,3.577412,-2.608720,-2.252387,0.000000,0.000000,0.500000
1.912000,-0.109332,0.404875,0.092772,3.558694,-2.716904,-2.369753,0.000000,0.000000,0.500000
1.922000,-0.109252,0.404925,0.092739,3.447307,-2.633077,-2.375399,0.000000,0.000000,0.500000
1.932000,-0.109268,0.404955,0.092805,3.528337,-2.788425,-2.385322,0.000000,0.000000,0.500000
1.942000,-0.109181,0.404912,0.092726,3.534358,-2.645203,-2.409209,0.000000,0.000000,0.500000
1.952000,-0.109275,0.404936,0.092818,3.528644,-2.747311,-2.410173,0.000000,0.000000,0.500000
1.962000,-0.109180,0.404834,0.092631,3.452961,-2.417654,-2.031394,0.000000,0.000000,0.500000
1.972000,-0.109292,0.404921,0.092812,3.611094,-2.680550,-2.381025,0.000000,0.000000,0.500000
1.983000,-0.109311,0.404940,0.092703,3.556388,-2.558018,-2.069990,0.000000,0.000000,0.500000
1.992000,-0.109431,0.404732,0.092592,3.665086,-2.476941,-2.083231,0.000000,0.000000,0.500000
2.002000,-0.109387,0.404847,0.092808,3.705729,-2.715746,-2.341869,0.000000,0.000000,0.500000
2.013000,-0.109586,0.404486,0.092642,2.788256,-2.515102,-1.637194,0.000000,0.000000,0.500000
2.022000,-0.109331,0.404934,0.092784,3.566653,-2.702979,-2.357957,0.000000,0.000000,0.500000
2.032000,-0.109357,0.404899,0.092811,3.627174,-2.809100,-2.430827,0.000000,0.000000,0.500000
2.043000,-0.109287,0.404903,0.092713,3.512366,-2.592024,-2.206554,0.000000,0.000000,0.500000
2.052000,-0.109394,0.404873,0.092788,3.476358,-2.630734,-2.227061,0.000000,0.000000,0.500000
2.063000,-0.109231,0.405010,0.092754,3.396705,-2.487861,-2.214010,0.000000,0.000000,0.500000
2.072000,-0.109240,0.404934,0.092829,3.568144,-2.764638,-2.389205,0.000000,0.000000,0.500000
2.083000,-0.109037,0.404906,0.092745,3.439084,-2.590537,-2.373012,0.000000,0.000000,0.500000
2.092000,-0.109206,0.404951,0.092806,3.478942,-2.658391,-2.315061,0.000000,0.000000,0.500000
2.102000,-0.109333,0.404791,0.092736,3.587222,-2.392893,-2.167355,0.000000,0.000000,0.500000
2.112000,-0.109243,0.404937,0.092778,3.520150,-2.600563,-2.303047,0.000000,0.000000,0.500000
2.122000,-0.109240,0.404897,0.092726,3.623185,-2.639454,-2.418866,0.000000,0.000000,0.500000
2.132000,-0.109304,0.404992,0.092815,3.582529,-2.713174,-2.381546,0.000000,0.000000,0.500000
2.143000,-0.109220,0.404928,0.092751,3.550505,-2.695040,-2.474271,0.000000,0.000000,0.500000
2.152000,-0.109308,0.404983,0.092823,3.554425,-2.760735,-2.450233,0.000000,0.000000,0.500000
2.162000,-0.109305,0.404914,0.092758,3.435238,-2.505259,-2.287812,0.000000,0.000000,0.500000
2.172000,-0.109294,0.404973,0.092815,3.518778,-2.724391,-2.399331,0.000000,0.000000,0.500000
2.182000,-0.109202,0.404915,0.092755,3.540481,-2.605926,-2.435582,0.000000,0.000000,0.500000
2.192000,-0.109192,0.405004,0.092762,3.498089,-2.662040,-2.272454,0.000000,0.000000,0.500000
2.202000,-0.109236,0.404864,0.092751,3.584078,-2.606484,-2.422681,0.000000,0.000000,0.500000
2.212000,-0.109299,0.404929,0.092686,3.520578,-2.466773,-1.910249,0.000000,0.000000,0.500000
2.222000,-0.109073,0.404869,0.092775,3.526456,-2.675186,-2.439054,0.000000,0.000000,0.500000
2.232000,-0.109598,0.404550,0.092636,2.915125,-2.516439,-1.600810,0.000000,0.000000,0.500000
2.244000,-0.109218,0.404877,0.092738,3.590315,-2.698530,-2.444878,0.000000,0.000000,0.500000
2.253000,-0.109411,0.405010,0.092871,3.493139,-2.774553,-2.526953,0.000000,0.000000,0.500000
2.263000,-0.109341,0.404960,0.092761,3.578582,-2.725240,-2.450322,0.000000,0.000000,0.500000
2.272000,-0.109257,0.404922,0.092774,3.572521,-2.718709,-2.385641,0.000000,0.000000,0.500000
2.283000,-0.109295,0.404945,0.092765,3.519262,-2.666867,-2.373004,0.000000,0.000000,0.500000
2.293000,-0.109231,0.404871,0.092776,3.632420,-2.680098,-2.430257,0.000000,0.000000,0.500000
2.302000,-0.109295,0.404908,0.092694,3.435511,-2.469595,-2.010801,0.000000,0.000000,0.500000
2.312000,-0.109168,0.404840,0.092730,3.426725,-2.499055,-2.274980,0.000000,0.000000,0.500000
2.323000,-0.109276,0.404983,0.092774,3.619811,-2.730426,-2.422173,0.000000,0.000000,0.500000
2.332000,-0.109337,0.404884,0.092572,3.473837,-2.270821,-1.882188,0.000000,0.000000,0.500000
2.342000,-0.109290,0.404994,0.092739,3.601178,-2.769780,-2.367602,0.000000,0.000000,0.500000
2.352000,-0.109216,0.405042,0.092817,3.492304,-2.679711,-2.560874,0.000000,0.000000,0.500000
2.363000,-0.109311,0.404972,0.092816,3.708159,-2.764074,-2.402870,0.000000,0.000000,0.500000
2.372000,-0.109299,0.404968,0.092684,3.503744,-2.551293,-2.099869,0.000000,0.000000,0.500000
2.383000,-0.109282,0.404873,0.092776,3.606916,-2.780433,-2.501037,0.000000,0.000000,0.500000
2.392000,-0.109633,0.404594,0.092524,2.810475,-2.492967,-1.817280,0.000000,0.000000,0.500000
2.402000,-0.109312,0.404864,0.092803,3.563301,-2.582383,-2.410495,0.000000,0.000000,0.500000
2.412000,-0.109306,0.404915,0.092768,3.574348,-2.726005,-2.378981,0.000000,0.000000,0.500000
2.423000,-0.109218,0.404853,0.092572,3.669089,-2.281258,-2.103911,0.000000,0.000000,0.500000
2.432000,-0.109233,0.404936,0.092774,3.627602,-2.750225,-2.373134,0.000000,0.000000,0.500000
2.442000,-0.109291,0.404951,0.092738,3.571017,-2.728565,-2.425283,0.000000,0.000000,0.500000
2.452000,-0.109357,0.404971,0.092784,3.577612,-2.555530,-2.219058,0.000000,0.000000,0.500000
2.463000,-0.109632,0.404609,0.092537,2.847072,-2.355576,-1.675236,0.000000,0.000000,0.500000
2.472000,-0.109323,0.404800,0.092735,3.611875,-2.613957,-2.339692,0.000000,0.000000,0.500000
2.482000,-0.109341,0.404919,0.092726,3.489014,-2.545728,-2.172120,0.000000,0.000000,0.500000
2.493000,-0.109139,0.404934,0.092709,3.308105,-2.408130,-2.141292,0.000000,0.000000,0.500000
2.502000,-0.109327,0.404992,0.092782,3.597931,-2.609622,-2.134710,0.000000,0.000000,0.500000
2.512000,-0.109206,0.404885,0.092730,3.602674,-2.647616,-2.348274,0.000000,0.000000,0.500000
2.523000,-0.109262,0.404874,0.092800,3.644634,-2.787383,-2.374488,0.000000,0.000000,0.500000
2.532000,-0.109355,0.404901,0.092759,3.585301,-2.619126,-2.303469,0.000000,0.000000,0.500000
2.542000,-0.109246,0.404878,0.092828,3.640989,-2.824680,-2.415224,0.000000,0.000000,0.500000
2.553000,-0.109307,0.404881,0.092788,3.604559,-2.733839,-2.410123,0.000000,0.000000,0.500000
2.562000,-0.109210,0.404872,0.092784,3.479420,-2.776362,-2.432638,0.000000,0.000000,0.500000
2.572000,-0.109354,0.404891,0.092796,3.630791,-2.758472,-2.429809,0.000000,0.000000,0.500000
2.583000,-0.109332,0.404834,0.092660,3.528943,-2.525655,-2.004960,0.000000,0.000000,0.500000
2.592000,-0.109395,0.404862,0.092712,3.505464,-2.534339,-2.110913,0.000000,0.000000,0.500000
2.602000,-0.109364,0.404899,0.092614,3.497962,-2.375723,-1.763907,0.000000,0.000000,0.500000
2.612000,-0.109340,0.404857,0.092738,3.540613,-2.572087,-2.129344,0.000000,0.000000,0.500000
2.623000,-0.109283,0.404817,0.092821,3.588231,-2.732160,-2.432174,0.000000,0.000000,0.500000
