PC Time, Mocap_X, Mocap_y, Mocap_z, Mocap_yaw, Mocap_pitch, Mocap_roll, X_ref, Y_ref, Z_ref 
15.643000,0.029596,0.030186,0.251573,-2.435767,-0.936361,-1.062271,0.000000,0.000000,0.200000
15.653000,0.029748,0.030180,0.251892,-2.311553,-1.374062,-1.386069,0.000000,0.000000,0.200000
15.664000,0.029931,0.030096,0.251890,-2.317013,-1.308989,-1.486871,0.000000,0.000000,0.200000
15.673000,0.030098,0.030020,0.251916,-2.299939,-0.600362,-1.352415,0.000000,0.000000,0.200000
15.683000,0.030090,0.029997,0.251807,-2.354526,-0.426846,-1.311665,0.000000,0.000000,0.200000
15.693000,0.030078,0.029888,0.251769,-2.197675,-0.378261,-1.309572,0.000000,0.000000,0.200000
15.703000,0.030202,0.030026,0.251764,-2.313930,-0.093231,-1.283315,0.000000,0.000000,0.200000
15.713000,0.030128,0.030227,0.251837,-1.853547,-0.141354,-1.861360,0.000000,0.000000,0.200000
15.723000,0.030204,0.030047,0.251757,-2.053106,-0.110874,-1.986628,0.000000,0.000000,0.200000
15.733000,0.030273,0.030191,0.252009,-1.964703,0.169917,-1.761631,0.000000,0.000000,0.200000
15.743000,0.030198,0.030083,0.251823,-2.023948,0.033894,-1.555502,0.000000,0.000000,0.200000
15.753000,0.030047,0.030079,0.252111,-1.992737,-0.361616,-1.837822,0.000000,0.000000,0.200000
15.763000,0.030050,0.029971,0.252109,-2.047256,-0.512341,-1.966269,0.000000,0.000000,0.200000
15.773000,0.029974,0.030062,0.251952,-1.980730,-0.297771,-1.640049,0.000000,0.000000,0.200000
15.783000,0.030046,0.029932,0.251918,-2.067025,-0.010837,-1.626164,0.000000,0.000000,0.200000
15.793000,0.029822,0.030072,0.251792,-1.874462,-0.187174,-1.902217,0.000000,0.000000,0.200000
15.803000,0.029779,0.030103,0.251998,-1.874281,-0.358840,-1.809955,0.000000,0.000000,0.200000
15.813000,0.029808,0.030175,0.251883,-1.894225,-0.272601,-1.701490,0.000000,0.000000,0.200000
15.823000,0.030006,0.030231,0.251942,-1.902121,0.058109,-1.731043,0.000000,0.000000,0.200000
15.833000,0.029980,0.030285,0.251945,-1.836343,-0.017600,-1.762563,0.000000,0.000000,0.200000
15.843000,0.029908,0.030334,0.251919,-1.807641,-0.003528,-1.844845,0.000000,0.000000,0.200000
15.853000,0.029983,0.030414,0.251968,-1.848369,0.053858,-1.701578,0.000000,0.000000,0.200000
15.863000,0.030091,0.030374,0.251868,-1.806102,0.249753,-1.664385,0.000000,0.000000,0.200000
15.873000,0.030093,0.030411,0.252014,-1.761346,0.259279,-1.501630,0.000000,0.000000,0.200000
15.883000,0.030039,0.030493,0.252054,-1.766670,0.122802,-1.520493,0.000000,0.000000,0.200000
15.893000,0.030046,0.030645,0.252030,-1.779931,0.073729,-1.464055,0.000000,0.000000,0.200000
